Location,Season,Year,Area,Rainfall,Temperature,Soil type,Irrigation,yeilds,Humidity,Crops,price
Mangalore,Kharif,2004,1279,2903.1,27,Alluvial,Drip,2570,57,Coconut,200000
Mangalore,Kharif,2004,13283,2903.1,27,Alluvial,Drip,27170,57.5,Coconut,4847
Mangalore,Kharif,2004,52119,2903.1,27,Alluvial,Drip,114744,57,Coconut,51239
Mangalore,Kharif,2004,725,2996.6,27,Alluvial,Drip,1402,55,Coconut,216396
Mangalore,Kharif,2004,12885,2996.6,27,Alluvial,Drip,23456,56,Coconut,2644
Mangalore,Kharif,2004,51179,2996.6,27,Alluvial,Drip,107809,54,Coconut,44235
Mangalore,Kharif,2004,468,3522.8,27.2,Alluvial,Drip,1132,58,Coconut,203317
Mangalore,Kharif,2004,11841,3522.8,27.2,Alluvial,Drip,23960,58,Coconut,2134
Mangalore,Kharif,2004,50975,3522.8,27.2,Alluvial,Drip,126487,59,Coconut,45186
Mangalore,Kharif,2004,206,3729.8,27,Alluvial,Drip,804,50,Coconut,238542
Mangalore,Kharif,2004,10922,3729.8,27,Alluvial,Drip,30362,54,Coconut,1516
Mangalore,Kharif,2004,51390,3729.8,27,Alluvial,Drip,124492,53,Coconut,57259
Mangalore,Kharif,2004,177,2746.2,27,Alluvial,Drip,792,52,Coconut,234779
Mangalore,Kharif,2004,10723,2746.2,27,Alluvial,Drip,34153,51,Coconut,1493
Mangalore,Kharif,2016,12885,2996.6,27.2,Laterite,Drip,23456,56,Coconut,2644
Mangalore,Kharif,2017,51179,2996.6,27,Laterite,Drip,107809,54,Coconut,44235
Mangalore,Kharif,2018,468,3522.8,27,Laterite,Drip,1132,58,Coconut,203317
Mangalore,Kharif,2019,11841,3522.8,27,Laterite,Drip,23960,58,Coconut,2134
Mangalore,Kharif,2004,50975,3522.8,27,Laterite,Drip,126487,59,Coconut,45186
Mangalore,Kharif,2005,206,3729.8,27,Laterite,Drip,804,50,Coconut,238542
Mangalore,Kharif,2006,10922,3729.8,27,Laterite,Drip,30362,54,Coconut,1516
Mangalore,Kharif,2007,51390,3729.8,27.2,Laterite,Drip,124492,53,Coconut,57259
Mangalore,Kharif,2008,177,2746.2,27.2,Laterite,Drip,792,52,Coconut,234779
Mangalore,Kharif,2009,10723,2746.2,27.2,Laterite,Drip,34153,51,Coconut,1493
Mangalore,Kharif,2010,51709,2746.2,27.1,Laterite,Drip,132551,57,Coconut,64409
Mangalore,Kharif,2011,146,3360,27.1,Laterite,Drip,338,57,Coconut,249978
Mangalore,Kharif,2012,10910,3360,27.1,Laterite,Drip,22966,60,Coconut,637
Mangalore,Kharif,2013,51355,3360,26.8,Laterite,Drip,131763,57,Coconut,43311
Mangalore,Kharif,2014,160,3605.4,26.8,Laterite,Drip,404,57,Coconut,24848
Mangalore,Kharif,2015,10912,3605.4,27.1,Laterite,Drip,24184,54,Coconut,761
Mangalore,Kharif,2016,51353,3605.4,27.1,Laterite,Drip,124387,54.5,Coconut,45608
Mangalore,Kharif,2011,1865,3550,27,Sandy,Spray,121,53.5,Paddy,2134
Mangalore,Kharif,2012,1841,3550,27,Sandy,Spray,103,52.5,Paddy,45186
Mangalore,Kharif,2013,1799,3550,27.2,Sandy,Spray,71,56,Paddy,238542
Mangalore,Kharif,2014,1468,3654,27.2,Sandy,Spray,3961,57,Paddy,1516
Mangalore,Kharif,2015,568,3654,27.2,Sandy,Spray,4247,57.5,Paddy,200000
Mangalore,Kharif,2016,407,3654,27,Sandy,Spray,3290,57,Groundnut,4847
Mangalore,Kharif,2017,177,233,27,Sandy,Spray,3138,55,Groundnut,51239
Mangalore,Kharif,2018,51,233,27,Sandy,Spray,3423,56,Groundnut,216396
Mangalore,Kharif,2004,173,233,27,Sandy,Spray,3899,54,Groundnut,2644
Mangalore,Kharif,2005,201,234,27,Sandy,Spray,4015,58,Groundnut,44235
Mangalore,Kharif,2006,206,234,27,Sandy,Spray,4279,58,Groundnut,203317
Mangalore,Kharif,2007,243,234,27.2,Sandy,Spray,4167,59,Groundnut,2134
Mangalore,Kharif,2008,123,3105,27.2,Sandy,Spray,4479,50,Groundnut,45186
Mangalore,Kharif,2009,82,3105,27.2,Sandy,Spray,3699,54,Groundnut,238542
Mangalore,Kharif,2010,74,3105,27.1,Sandy,Spray,4904,53,Groundnut,1516
Mangalore,Kharif,2011,18,236,27.1,Sandy,Spray,2821,52,Groundnut,57259
Mangalore,Kharif,2012,37,2903.1,27.1,Sandy,Spray,3472,51,Groundnut,234779
Mangalore,Kharif,2013,35,2903.1,26.8,Sandy,Spray,3647,57,Groundnut,1493
Mangalore,Kharif,2014,5974,2903.1,26.8,Sandy,Spray,393,57,Groundnut,64409
Mangalore,Kharif,2015,6631,2996.6,26.8,Sandy,Spray,167,60,Groundnut,249978
Mangalore,Kharif,2016,6705,2996.6,37,Sandy,Spray,71,57,Blackgram,637
Mangalore,Kharif,2017,5876,2996.6,37,Sandy,Spray,52,57,Blackgram,43311
Mangalore,Kharif,2018,326,3522.8,37,Heavy cotton,Spray,313547,54,Blackgram,24848
Mangalore,Kharif,2004,6470,3522.8,38,Heavy cotton,Spray,2783,54.5,Blackgram,761
Mangalore,Kharif,2005,6709,3522.8,38,Heavy cotton,Spray,1533,56.6,Blackgram,45608
Mangalore,Kharif,2006,6186,3729.8,38,Heavy cotton,Drip,1647,55.5,Blackgram,234581
Mangalore,Kharif,2007,6503,3729.8,39,Heavy cotton,Drip,975,58.5,Blackgram,646
Mangalore,Kharif,2008,5220,3729.8,39,Heavy cotton,Drip,2,59.5,Blackgram,43562
Mangalore,Kharif,2009,4677,2746.2,39,Heavy cotton,Drip,836,55,Blackgram,200000
Mangalore,Kharif,2010,4803,2746.2,40,Heavy cotton,Drip,806,53,Blackgram,4847
Mangalore,Kharif,2011,3739,2746.2,40,Heavy cotton,Drip,880,53.5,Blackgram,51239
Mangalore,Kharif,2012,3529,3360,40,Heavy cotton,Drip,770,52.5,Blackgram,216396
Mangalore,Kharif,2013,3649,3360,41,Heavy cotton,Drip,395,56,Blackgram,2644
Mangalore,Kharif,2014,1374,3360,41,Heavy cotton,Drip,187,59.5,Blackgram,44235
Mangalore,Kharif,2015,933,3605.4,41,Heavy cotton,Drip,187,55,Blackgram,203317
Mangalore,Kharif,2016,345,3605.4,42,Heavy cotton,Drip,121,53,Cashew,2134
Mangalore,Kharif,2017,29,3605.4,42,Heavy cotton,Drip,103,53.5,Cashew,45186
Mangalore,Kharif,2018,11,3512.4,42,Heavy cotton,Drip,71,52.5,Cashew,238542
Mangalore,Kharif,2004,10,3512.4,43,Heavy cotton,Drip,3961,56,Cashew,1516
Mangalore,Kharif,2005,7,3512.4,27,Heavy cotton,Drip,4247,57,Cashew,57259
Mangalore,Kharif,2006,10,3296,27,Heavy cotton,Drip,3290,57.5,Cashew,234779
Mangalore,Kharif,2007,56,3296,27,Heavy cotton,Drip,3138,57,Cashew,1493
Mangalore,Kharif,2008,68,3296,27,Heavy cotton,Drip,3423,55,Cashew,64409
Mangalore,Kharif,2009,56,3550,27,Heavy cotton,Drip,3899,56,Cashew,249978
Mangalore,Kharif,2010,66,3550,27,Heavy cotton,Drip,4015,54,Cashew,637
Mangalore,Kharif,2011,55,3550,27.2,Heavy cotton,Drip,4279,58,Cashew,43311
Mangalore,Kharif,2012,42,3654,27.2,Heavy cotton,Drip,4167,58,Cashew,24848
Mangalore,Kharif,2013,51179,3654,27.2,Heavy cotton,Drip,4479,59,Cashew,761
Mangalore,Kharif,2014,468,3654,27,Heavy cotton,Drip,3699,50,Cashew,45608
Mangalore,Kharif,2015,11841,233,27,Heavy cotton,Drip,4904,54,Cashew,234581
Mangalore,Kharif,2016,50975,233,27,Heavy cotton,Drip,2821,53,Coconut,646
Mangalore,Kharif,2017,206,233,27,Heavy cotton,Drip,3472,59.5,Coconut,43562
Mangalore,Kharif,2018,10922,234,27,Loam,Drip,3647,55,Coconut,200000
Mangalore,Kharif,2019,51390,234,27,Loam,Drip,393,53,Coconut,4847
Mangalore,Kharif,2004,177,234,27.2,Loam,Drip,167,53.5,Coconut,51239
Mangalore,Kharif,2005,10723,3105,27.2,Loam,Drip,71,52.5,Coconut,216396
Mangalore,Rabi,2016,146,2903.1,39,Alluvial,Spray,880,50,Coconut,57259
Mangalore,Rabi,2017,10910,2996.6,39,Alluvial,Spray,770,54,Coconut,234779
Mangalore,Rabi,2018,51355,2996.6,40,Alluvial,Spray,395,53,Coconut,1493
Mangalore,Rabi,2004,160,2996.6,40,Alluvial,Spray,187,52,Coconut,64409
Mangalore,Rabi,2005,10912,3522.8,40,Alluvial,Spray,187,51,Coconut,249978
Mangalore,Rabi,2006,51353,3522.8,41,Alluvial,Spray,121,57,Coconut,637
Mangalore,Rabi,2007,142,3522.8,41,Alluvial,Spray,103,57,Coconut,43311
Mangalore,Rabi,2008,10505,2903.1,41,Alluvial,Spray,71,60,Coconut,24848
Mangalore,Rabi,2009,51040,2903.1,42,Alluvial,Spray,3961,57,Coconut,761
Mangalore,Rabi,2010,154,2903.1,42,Alluvial,Spray,4247,57,Coconut,45608
Mangalore,Rabi,2011,10318,2996.6,42,Alluvial,Spray,3290,54,Coconut,234581
Mangalore,Rabi,2012,48083,2996.6,43,Alluvial,Spray,3138,54.5,Coconut,646
Mangalore,Rabi,2013,143,2996.6,43,Alluvial,Spray,3423,56.6,Coconut,43562
Mangalore,Rabi,2014,9283,3522.8,128,Alluvial,Spray,3899,55.5,Coconut,200000
Mangalore,Rabi,2015,47200,3522.8,129,Alluvial,Spray,4015,58.5,Coconut,4847
Mangalore,Rabi,2016,158,3522.8,130,Alluvial,Spray,4279,59.5,Coconut,51239
Mangalore,Rabi,2017,8982,3729.8,131,Alluvial,Spray,4167,55,Coconut,216396
Mangalore,Rabi,2018,46990,3729.8,132,Alluvial,Spray,4479,53,Coconut,2644
Mangalore,Rabi,2004,103,3729.8,133,Alluvial,Spray,3699,53.5,Coconut,44235
Mangalore,Rabi,2005,8239,2746.2,134,Alluvial,Spray,4904,52.5,Coconut,203317
Mangalore,Rabi,2006,44563,2746.2,135,Alluvial,Spray,2821,56,Coconut,2134
Mangalore,Rabi,2007,96,2746.2,136,Alluvial,Spray,3472,57,Coconut,45186
Mangalore,Rabi,2008,6949,3360,137,Alluvial,Spray,3647,57.5,Coconut,238542
Mangalore,Rabi,2009,44663,3360,138,Alluvial,Spray,393,57,Coconut,1516
Mangalore,Rabi,2010,110,3360,139,Alluvial,Spray,167,55,Coconut,200000
Mangalore,Rabi,2011,6824,3605.4,140,Loam,Spray,71,56,Coconut,4847
Mangalore,Rabi,2012,43013,3605.4,141,Loam,Spray,52,54,Coconut,51239
Mangalore,Rabi,2013,95,3605.4,142,Loam,Spray,12,58,Coconut,216396
Mangalore,Rabi,2014,6441,3512.4,143,Loam,Spray,51,58,Coconut,2644
Mangalore,Rabi,2015,4012,3512.4,144,Loam,Spray,61,59,Coconut,44235
Mangalore,Rabi,2016,4877,3512.4,27,Loam,Spray,67,50,Coconut,203317
Mangalore,Rabi,2017,4930,3296,27,Loam,Spray,62,54,Coconut,2134
Mangalore,Rabi,2018,4954,3296,27,Loam,Drip,32,53,Cocoa,45186
Mangalore,Rabi,2004,5019,3296,27,Loam,Drip,22,52,Cocoa,238542
Mangalore,Rabi,2005,5127,3550,27,Loam,Drip,25,51,Cocoa,1516
Mangalore,Rabi,2006,5174,3550,27,Loam,Drip,4,57,Cocoa,57259
Mangalore,Rabi,2007,5294,3550,27.2,Loam,Drip,9,57,Cocoa,234779
Mangalore,Rabi,2008,5474,3654,27.2,Loam,Drip,12,60,Cocoa,1493
Mangalore,Rabi,2009,5864,3654,27.2,Loam,Drip,2089,57,Coffee,64409
Mangalore,Rabi,2010,7028,3654,27,Loam,Drip,2810,57,Coffee,249978
Mangalore,Rabi,2011,7403,233,27,Loam,Drip,841,54,Coffee,637
Mangalore,Rabi,2012,7501,233,27,Loam,Drip,3550,54.5,Coffee,43311
Mangalore,Rabi,2013,7714,233,27,Loam,Drip,109,56.6,Coffee,24848
Mangalore,Rabi,2014,7856,234,27,Loam,Drip,3368,55.5,Coffee,761
Mangalore,Rabi,2015,32,234,27,Loam,Drip,3671,58.5,Coffee,45608
Mangalore,Rabi,2016,1,234,27.2,Loam,Drip,2404,59.5,Coffee,234581
Mangalore,Rabi,2017,30,3105,27.2,Loam,Drip,2805,55,Coffee,646
Mangalore,Rabi,2018,6,3105,27.2,Loam,Drip,2331,53,Coffee,43562
Mangalore,Rabi,2004,15,3105,27.1,Loam,Drip,2088,53.5,Coffee,200000
Mangalore,Rabi,2005,4,236,27.1,Loam,Drip,2628,52.5,Coffee,4847
Mangalore,Rabi,2006,39,236,27.1,Loam,Drip,1939,56,Coffee,51239
Mangalore,Rabi,2007,6,2903.1,26.8,Loam,Drip,1871,57,Coffee,216396
Mangalore,Rabi,2008,12,2903.1,26.8,Loam,Drip,1868,57.5,Coffee,2644
Mangalore,Rabi,2009,3,2903.1,26.8,Loam,Drip,127919,57,Cardamum,44235
Mangalore,Rabi,2010,17,2996.6,37,Sandy loam,Drip,75340,55,Cardamum,203317
Mangalore,Rabi,2011,3,2996.6,37,Sandy loam,Drip,29170,56,Cardamum,2134
Mangalore,Rabi,2012,9,2996.6,37,Sandy loam,Drip,1901,54,Cardamum,45186
Mangalore,Rabi,2013,21,3522.8,38,Sandy loam,Drip,972,58,Cardamum,238542
Mangalore,Rabi,2014,11,3522.8,38,Sandy loam,Drip,874,58,Cardamum,1516
Mangalore,Rabi,2015,4,3522.8,38,Clay loam,Drip,592,59,Cardamum,57259
Mangalore,Rabi,2016,15,2903.1,39,Clay loam,Drip,864,50,Cardamum,234779
Mangalore,Rabi,2017,8,2903.1,39,Clay loam,Drip,5373,54,Cardamum,1493
Mangalore,Rabi,2018,29,2903.1,39,Clay loam,Drip,6589,53,Cardamum,64409
Mangalore,Rabi,2004,1,2996.6,40,Clay loam,Drip,5107,52,Cardamum,249978
Mangalore,Rabi,2005,13736,2996.6,40,Clay loam,Drip,5518,51,Cardamum,637
Mangalore,Rabi,2006,14003,2996.6,40,Laterite,Drip,4912,57,Cardamum,43311
Mangalore,Rabi,2007,14179,3522.8,41,Laterite,Drip,3830,57,Cardamum,24848
Mangalore,Rabi,2008,14319,3522.8,41,Laterite,Drip,4,60,Cardamum,761
Mangalore,Rabi,2009,14464,3522.8,41,Laterite,Drip,9,57,Pepper,45608
Mangalore,Rabi,2010,14876,3729.8,42,Laterite,Drip,12,57,Pepper,234581
Mangalore,Rabi,2011,14976,3729.8,42,Laterite,Drip,2089,54,Pepper,646
Mangalore,Rabi,2012,15009,3729.8,42,Laterite,Drip,2810,54.5,Pepper,43562
Mangalore,Rabi,2013,15114,2746.2,43,Laterite,Drip,841,56.6,Pepper,200000
Mangalore,Rabi,2014,16224,2746.2,43,Laterite,Drip,3550,55.5,Pepper,4847
Mangalore,Rabi,2015,17095,2746.2,27,Laterite,Drip,109,58.5,Pepper,51239
Mangalore,Rabi,2016,17512,3360,27,Laterite,Drip,3368,59.5,Pepper,216396
Mangalore,Rabi,2017,17587,3360,27,Laterite,Basin,3671,55,Pepper,2644
Mangalore,Rabi,2018,17771,3360,27,Laterite,Basin,2404,53,Pepper,44235
Mangalore,Rabi,2004,17825,3605.4,27,Laterite,Basin,2805,53.5,Pepper,203317
Mangalore,Rabi,2005,3147,3605.4,27,Laterite,Basin,2331,52.5,Pepper,2134
Mangalore,Rabi,2006,2578,3605.4,27.2,Laterite,Basin,2088,56,Pepper,45186
Mangalore,Rabi,2007,1591,3512.4,27.2,Laterite,Basin,2628,57,Pepper,238542
Mangalore,Rabi,2008,1298,3512.4,27.2,Laterite,Basin,1939,57.5,Pepper,1516
Mangalore,Rabi,2004,177,3512.4,39,Sandy loam,Drip,3550,57,Coffee,249978
Mangalore,Rabi,2004,10723,3512.4,39,Sandy loam,Drip,109,54,Coffee,637
Mangalore,Rabi,2004,51709,3296,40,Sandy loam,Drip,3368,54.5,Coffee,43311
Mangalore,Rabi,2017,142,3360,40,Alluvial,Drip,2331,55.5,Coffee,761
Mangalore,Rabi,2018,10505,3360,41,Alluvial,Drip,2088,58.5,Coffee,45608
Mangalore,Rabi,2004,51040,3605.4,41,Alluvial,Drip,2628,59.5,Coffee,234581
Mangalore,Rabi,2005,154,3605.4,41,Alluvial,Drip,1939,55,Coffee,646
Mangalore,Rabi,2012,10318,3605.4,42,Alluvial,Drip,1871,53,Coffee,43562
Mangalore,Rabi,2013,48083,3512.4,42,Alluvial,Drip,1868,53.5,Coffee,200000
Mangalore,Rabi,2014,143,3512.4,27,Alluvial,Drip,127919,52.5,Coffee,4847
Mangalore,Rabi,2015,9283,3512.4,27,Alluvial,Drip,75340,56,Coffee,51239
Mangalore,Rabi,2016,47200,3296,27,Alluvial,Drip,29170,57,Coffee,216396
Mangalore,Rabi,2017,158,3296,27,Alluvial,Drip,1901,57.5,Coffee,2644
Mangalore,Rabi,2018,8982,3296,27,Alluvial,Drip,972,57,Cardamum,44235
Mangalore,Rabi,2004,46990,3550,27,Alluvial,Drip,874,55,Cardamum,203317
Mangalore,Rabi,2005,103,3550,27.2,Alluvial,Drip,592,56,Cardamum,2134
Mangalore,Rabi,2006,8239,3550,27.2,Alluvial,Drip,864,54,Cardamum,45186
Mangalore,Rabi,2007,44563,3654,27.2,Alluvial,Drip,5373,58,Cardamum,238542
Mangalore,Rabi,2008,96,3654,27,Black,Drip,6589,58,Cardamum,1516
Mangalore,Rabi,2009,6949,3654,27,Black,Drip,5107,59,Cardamum,57259
Mangalore,Rabi,2006,51709,3105,27.2,Loam,Drip,52,56,Coconut,2644
Mangalore,Rabi,2007,146,3105,27.1,Loam,Drip,2570,57,Coconut,44235
Mangalore,Rabi,2008,10910,236,27.1,Loam,Drip,27170,57.5,Coconut,203317
Mangalore,Rabi,2009,51355,236,27.1,Loam,Drip,114744,57,Coconut,2134
Mangalore,Rabi,2010,160,321,26.8,Loam,Drip,1402,55,Coconut,45186
Mangalore,Rabi,2011,10912,3654,26.8,Loam,Drip,23456,56,Coconut,238542
Mangalore,Rabi,2012,51353,323,26.8,Loam,Drip,107809,54,Coconut,1516
Mangalore,Rabi,2013,142,324,37,Loam,Drip,1132,58,Coconut,200000
Mangalore,Rabi,2014,10505,3105,37,Loam,Drip,23960,58,Coconut,4847
Mangalore,Rabi,2015,51040,326,37,Loam,Drip,126487,59,Coconut,51239
Mangalore,Rabi,2016,154,327,38,Loam,Drip,804,50,Ginger,216396
Mangalore,Rabi,2017,10318,328,38,Loam,Drip,30362,54,Ginger,2644
Mangalore,Rabi,2018,48083,2903.1,38,Loam,Drip,124492,53,Ginger,44235
Mangalore,Rabi,2012,143,2903.1,39,Loam,Basin,792,59.5,Ginger,203317
Mangalore,Rabi,2013,9283,2903.1,39,Loam,Basin,34153,55,Ginger,2134
Mangalore,Rabi,2014,47200,2996.6,39,Loam,Basin,2570,53,Ginger,45186
Mangalore,Rabi,2015,158,2996.6,40,Loam,Basin,27170,53.5,Ginger,238542
Mangalore,Rabi,2016,8982,2996.6,40,Sandy loam,Basin,114744,52.5,Ginger,1516
Mangalore,Rabi,2017,46990,3522.8,40,Sandy loam,Basin,1402,56,Ginger,57259
Mangalore,Rabi,2018,103,3522.8,41,Sandy loam,Basin,23456,57,Ginger,234779
Mangalore,Rabi,2019,8239,3522.8,41,Sandy loam,Basin,107809,57.5,Ginger,1493
Mangalore,Rabi,2004,44563,3729.8,41,Sandy loam,Basin,1132,57,Ginger,64409
Mangalore,Rabi,2005,96,3729.8,42,Sandy loam,Basin,23960,55,Ginger,249978
Mangalore,Rabi,2006,6949,3729.8,42,Sandy loam,Basin,126487,56,Ginger,637
Mangalore,Rabi,2007,44663,2746.2,42,Sandy loam,Basin,804,54,Ginger,43311
Mangalore,Rabi,2008,110,2746.2,43,Sandy loam,Drip,30362,57,Coconut,200000
Mangalore,Rabi,2009,6824,2746.2,43,Sandy loam,Drip,124492,57.5,Coconut,4847
Mangalore,Rabi,2004,391,2746.2,27,Drained loam,Drip,3138,57,Cashew,57259
Mangalore,Rabi,2004,211,2746.2,27,Drained loam,Drip,3423,57.5,Cashew,234779
Mangalore,Rabi,2004,153,3360,27,Drained loam,Drip,3899,57,Cashew,1493
Mangalore,Rabi,2004,111,3360,27,Drained loam,Drip,4015,55,Cashew,64409
Mangalore,Rabi,2004,76,3360,27,Drained loam,Drip,4279,56,Cashew,249978
Mangalore,Rabi,2004,53,3605.4,27,Drained loam,Drip,4167,54,Cashew,637
Mangalore,Rabi,2004,2688,3605.4,27.2,Drained loam,Drip,4479,58,Cashew,43311
Mangalore,Rabi,2004,2311,3605.4,27.2,Drained loam,Drip,3699,58,Cashew,24848
Mangalore,Rabi,2004,2188,3512.4,27.2,Drained loam,Drip,4904,59,Cashew,761
Mangalore,Rabi,2004,1998,3512.4,27,Drained loam,Drip,2821,50,Cashew,45608
Mangalore,Rabi,2004,2006,3512.4,27,Drained loam,Drip,3472,54,Cashew,234581
Mangalore,Rabi,2004,2034,3296,27,Drained loam,Drip,3647,53,Coconut,646
Mangalore,Rabi,2004,2035,3296,27,Drained loam,Drip,393,59.5,Coconut,43562
Mangalore,Rabi,2004,2074,3296,27,Drained loam,Drip,167,55,Coconut,200000
Mangalore,Rabi,2010,5174,2903.1,26.8,Laterite,Drip,4479,56,Cashew,249978
Mangalore,Rabi,2011,5294,2996.6,37,Laterite,Drip,3699,54,Cashew,637
Mangalore,Rabi,2012,5474,2996.6,37,Laterite,Drip,4904,58,Cashew,43311
Mangalore,Rabi,2013,5864,2996.6,37,Laterite,Drip,2821,58,Cashew,24848
